id,fw_concern,less_menus,eating_freq,menu_choice,fw_today,smaller_serving,larger_serving,second_serving,new_portions,compare_fw
1,Concerned,Yes,3,Price,2,2,Sometimes,Often,Larger,Same food waste
2,Concerned,Yes,3,Taste,2,1,Rarely,Sometimes,About the same,Same food waste
3,Concerned,Yes,2,Dietary restrictions,2,3,Sometimes,Never,About the same,Same food waste
4,Concerned,Yes,6,Taste,1,2,Sometimes,Sometimes,Larger,Same food waste
5,Concerned,Yes,4,Taste,3,2,Sometimes,Sometimes,Larger,Increase in food waste
6,Not concerned at all,No,2,Taste,3,2,Rarely,Sometimes,Larger,Increase in food waste
7,Not concerned at all,No,2,Taste,3,2,Rarely,Sometimes,Larger,Increase in food waste
8,Moderately concerned,Yes,1,Taste,1,2,Never,Never,About the same,Same food waste
9,Concerned,Yes,5,Taste,4,4,Rarely,Rarely,Larger,Increase in food waste
10,Moderately concerned,No,5,Taste,2,1,Often,Often,About the same,Decrease in food waste
11,Concerned,Yes,2,Price,1,3,Never,Often,About the same,Same food waste
12,Slightly concerned,No,3,Taste,2,1,Sometimes,Sometimes,Larger,Increase in food waste
